SeriesInstanceUID,StudyInstanceUID,SeriesNumberInstances,SeriesPlane,SeriesLabelMerge
1.2.840.113619.2.410.15512023.5814788.21942.15948906060024,1.2.840.113619.6.410.141640540339052530491289890774412858368,25,axial,flair
1.2.840.113619.2.5.1917161924716002237191600223719405000,1.2.840.113619.6.388.142748775276597318756983106699181872065,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.29683.15994405750742,1.2.840.113619.6.410.228740670531169773299671777809937974762,25,axial,other
1.2.840.113619.2.410.15512023.5814788.32042.15791612990665,1.2.840.113619.6.410.329274338869633041270199169377980387834,18,axial,dwi
1.2.840.113619.2.5.1917221825616013434391601343439507000,1.2.840.113619.6.388.149115943014400619738246772455111288362,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.10251.15941754610166,1.2.840.113619.6.410.27346059325724541118831756052788707920,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.30959.15948832690373,1.2.840.113619.6.410.137898055049934871985620822007479701607,25,axial,t2
1.2.840.113619.2.5.1825222219715970185651597018565695000,1.2.840.113619.6.388.49340810182461602790068724234654570317,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.26000.16034354030675,1.2.840.113619.6.410.174072765080161491362771485327290535775,25,axial,other
1.2.840.113619.2.410.15512023.5814788.6421.1586746817467,1.2.840.113619.6.410.332119419096343645712949244546116853199,25,axial,t2
1.2.840.113619.2.5.1918182324616024927771602492777764000,1.2.840.113619.6.388.144165236519345438437589497640968510568,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.28949.15964443740664,1.2.840.113619.6.410.92799438004935535719187645682270560917,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.13301.15958383330305,1.2.840.113619.6.410.37036263072944493744077818572951532217,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.21328.16003885320043,1.2.840.113619.6.410.72018269195702828501937209391299217744,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.12844.15861550360249,1.2.840.113619.6.410.33615807816785290413285408497555730999,25,axial,other
1.2.840.113619.2.410.15512023.5814788.5365.1580715622428,1.2.840.113619.6.410.35122281026575499042207664568529006499,25,axial,t2
1.2.840.113619.2.5.1825182422615959943011595994301791000,1.2.840.113619.6.388.303688102919754287774975065207891548667,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.21611.15790571440001,1.2.840.113619.6.410.111685659935205307282178263189933877201,25,axial,other
1.2.840.113619.2.5.1916232120615996461281599646128327000,1.2.840.113619.6.388.28404287923732069372792147445379205859,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.1880.1599178947405,1.2.840.113619.6.410.182092837279231215753665729542209422074,25,axial,other
1.2.840.113619.2.5.1821162519615901167471590116747198000,1.2.840.113619.6.388.77065340495596666075200548352456419030,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.19576.15991198460607,1.2.840.113619.6.410.14448318743452333960338346097065890202,25,axial,other
1.2.840.113619.2.5.1824202421615946833001594683300313000,1.2.840.113619.6.388.281619489552853467380859543861758677021,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.22087.15814052000795,1.2.840.113619.6.410.132199041217119995266064421749631101235,25,axial,other
1.2.840.113619.2.5.1916212425615994429181599442918263000,1.2.840.113619.6.388.216224377132414271196747587458172242187,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.20109.15991200250754,1.2.840.113619.6.410.14448318743452333960338346097065890202,18,axial,dwi
1.2.840.113619.2.5.1825172425715958379431595837943706000,1.2.840.113619.6.388.241598939277384086076261576433400480797,20,axial,dwi
1.2.840.113619.2.5.1917162319816002468441600246844012000,1.2.840.113619.6.388.213565341158267797835695113155057524431,20,axial,dwi
1.2.840.113619.2.5.1918172318516022204831602220483549000,1.2.840.113619.6.388.339619180593176789945439702637115247705,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.22559.15948909160793,1.2.840.113619.6.410.141640540339052530491289890774412858368,18,axial,dwi
1.2.840.113619.2.5.1821162425615901145251590114525252000,1.2.840.113619.6.388.6361536015762131135133837693432843617,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.13070.16007618350761,1.2.840.113619.6.410.300267787693247921510086091600291259554,25,axial,t2
1.2.840.113619.2.5.1825242025615974540101597454010441000,1.2.840.113619.6.388.39012638447575484400869236336700251519,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.25320.15997842800984,1.2.840.113619.6.410.284829606723725549679006570235743894743,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.14866.15952300230535,1.2.840.113619.6.410.259258635306824730503101825579777267348,25,axial,other
1.2.840.113619.2.5.1824252425615954672071595467207914000,1.2.840.113619.6.388.34083997399286100422123032415155894404,25,axial,t2
1.2.840.113619.2.5.1916182319615985865891598586589108000,1.2.840.113619.6.388.165496136841848953117262018945468649785,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.2142.1599179032745,1.2.840.113619.6.410.182092837279231215753665729542209422074,25,axial,t2
1.2.840.113619.2.5.1825192116715960910751596091075734000,1.2.840.113619.6.388.314002536652575899137532132877716928523,20,axial,dwi
1.2.840.113619.2.5.1916241619615997277861599727786469000,1.2.840.113619.6.388.307008614573489317856088494638419443875,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.15146.15819275540136,1.2.840.113619.6.410.255341383267583657038471475025735047099,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.29457.15952358540318,1.2.840.113619.6.410.185081813482343740160843226107996262301,25,axial,flair
1.2.840.113619.2.410.15512023.5814788.27964.15994548850724,1.2.840.113619.6.410.115691705718311235874936165638478465723,18,axial,dwi
1.2.840.113619.2.5.1824252318615954075461595407546441000,1.2.840.113619.6.388.123405287767960600324424582633497450620,20,axial,dwi
1.2.840.113619.2.5.1916222520615995585601599558560276000,1.2.840.113619.6.388.314842585455233843120254298744963719518,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.29070.15804549740227,1.2.840.113619.6.410.129535188818490734954528572423006842250,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.13484.15861553990147,1.2.840.113619.6.410.33615807816785290413285408497555730999,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.620.15966001510156,1.2.840.113619.6.410.67189537291259173420834055643483688197,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.30190.15994407830104,1.2.840.113619.6.410.228740670531169773299671777809937974762,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.26724.15964432680825,1.2.840.113619.6.410.29118749366678588281434504685916033616,25,axial,other
1.2.840.113619.2.5.1725232416615803411861580341186280000,1.2.840.113619.6.388.244133129564384542759028600291574149505,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.22626.15790575370904,1.2.840.113619.6.410.111685659935205307282178263189933877201,18,axial,dwi
1.2.840.113619.2.5.1821171923715901940161590194016383000,1.2.840.113619.6.388.108668068696379008422079000958973785636,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.9799.1594175340042,1.2.840.113619.6.410.27346059325724541118831756052788707920,25,axial,other
1.2.840.113619.2.410.15512023.5814788.25085.15940180150125,1.2.840.113619.6.410.101100861104762822098783993417376401921,25,axial,other
1.2.840.113619.2.410.15512023.5814788.30156.15965235500827,1.2.840.113619.6.410.187510748184269179517286452881559008700,18,axial,dwi
1.2.840.113619.2.5.1825212118715966118041596611804038000,1.2.840.113619.6.388.66418468323517774028651012969420461445,20,axial,dwi
1.2.840.113619.2.5.1825222225715970223571597022357822000,1.2.840.113619.6.388.290980611618255580417199809771922339437,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.4005.1600654812913,1.2.840.113619.6.410.66407727539833811361538031334665148945,18,axial,dwi
1.2.840.113619.2.5.1917171820616003332951600333295458000,1.2.840.113619.6.388.175446318744063600837266734420532274121,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.26222.16034354630312,1.2.840.113619.6.410.174072765080161491362771485327290535775,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.32505.15966000130725,1.2.840.113619.6.410.67189537291259173420834055643483688197,25,axial,other
1.2.840.113619.2.410.15512023.5814788.11643.15804402580707,1.2.840.113619.6.410.294840114589361917339754723274158169223,25,axial,other
1.2.840.113619.2.410.15512023.5814788.6855.1586746927346,1.2.840.113619.6.410.332119419096343645712949244546116853199,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.6384.1580352060061,1.2.840.113619.6.410.120798535282182510508433318089287298444,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.4348.1581392072358,1.2.840.113619.6.410.213925565523759567732468613113106897503,25,axial,other
1.2.840.113619.2.410.15512023.5814788.12684.16007616700014,1.2.840.113619.6.410.300267787693247921510086091600291259554,18,axial,dwi
1.2.840.113619.2.5.1916201917615989513621598951362658000,1.2.840.113619.6.388.74651017419275797847028996198355859908,20,axial,dwi
1.2.840.113619.2.5.1825192416615961570601596157060481000,1.2.840.113619.6.388.314405020800736104355735550758940327499,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.28593.15964442290146,1.2.840.113619.6.410.92799438004935535719187645682270560917,25,axial,flair
1.2.840.113619.2.5.1823172324615926162461592616246633000,1.2.840.113619.6.388.312048644914612360656250487265160389743,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.17669.16031573960565,1.2.840.113619.6.410.190325384476836683096616638122883818636,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.15006.15819274920216,1.2.840.113619.6.410.255341383267583657038471475025735047099,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.5030.1580715454858,1.2.840.113619.6.410.35122281026575499042207664568529006499,25,axial,other
1.2.840.113619.2.410.15512023.5814788.12729.15958380780205,1.2.840.113619.6.410.37036263072944493744077818572951532217,25,axial,other
1.2.840.113619.2.5.1821172217815902052211590205221313000,1.2.840.113619.6.388.192537819395277998651186067755537323759,20,axial,dwi
1.2.840.113619.2.5.1918172321616022285431602228543258000,1.2.840.113619.6.388.280941014586127832288864600918111868268,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.11794.15804403330288,1.2.840.113619.6.410.294840114589361917339754723274158169223,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.32187.15791613780148,1.2.840.113619.6.410.329274338869633041270199169377980387834,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.5565.1580715789185,1.2.840.113619.6.410.35122281026575499042207664568529006499,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.6150.1580351978987,1.2.840.113619.6.410.120798535282182510508433318089287298444,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.17285.16031572700203,1.2.840.113619.6.410.190325384476836683096616638122883818636,25,axial,flair
1.2.840.113619.2.5.1825171624715956407111595640711026000,1.2.840.113619.6.388.73906896814239789518966136881253359664,20,axial,dwi
1.2.840.113619.2.5.1918201917616027372411602737241177000,1.2.840.113619.6.388.240281190330846556446169945302248099841,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.28923.15804549000581,1.2.840.113619.6.410.129535188818490734954528572423006842250,25,axial,other
1.2.840.113619.2.410.15512023.5814788.14680.15819273330658,1.2.840.113619.6.410.255341383267583657038471475025735047099,25,axial,other
1.2.840.113619.2.410.15512023.5814788.10094.15941753990495,1.2.840.113619.6.410.27346059325724541118831756052788707920,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.3245.1600654436591,1.2.840.113619.6.410.66407727539833811361538031334665148945,25,axial,other
1.2.840.113619.2.410.15512023.5814788.11890.16007612900434,1.2.840.113619.6.410.300267787693247921510086091600291259554,25,axial,other
1.2.840.113619.2.410.15512023.5814788.11987.15807181610268,1.2.840.113619.6.410.134326008530526694910986598523934182418,25,axial,t2
1.2.840.113619.2.5.1918162222616020623671602062367764000,1.2.840.113619.6.388.155092692026527737037154175508640053039,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.11125.16032399290964,1.2.840.113619.6.410.283423224305112722086381747904404575437,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.13086.15861551080924,1.2.840.113619.6.410.33615807816785290413285408497555730999,18,axial,dwi
1.2.840.113619.2.5.1918201916616027365301602736530488000,1.2.840.113619.6.388.115131296190354272963907677391386255526,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.10626.16032397250632,1.2.840.113619.6.410.283423224305112722086381747904404575437,25,axial,other
1.2.840.113619.2.5.1825212317715966761931596676193573000,1.2.840.113619.6.388.126549656610136813161153393616132672333,20,axial,dwi
1.2.840.113619.2.5.1917171717716003172201600317220024000,1.2.840.113619.6.388.126373767048569392932803448754323059746,20,axial,dwi
1.2.840.113619.2.5.1918162425716021248401602124840216000,1.2.840.113619.6.388.75375959512928365900552902675149673755,20,axial,dwi
1.2.840.113619.2.5.1917231725616014433501601443350088000,1.2.840.113619.6.388.249556263072470013257311253580534457569,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.30086.15952360550575,1.2.840.113619.6.410.185081813482343740160843226107996262301,18,axial,dwi
1.2.840.113619.2.5.1916222523715996118091599611809219000,1.2.840.113619.6.388.101774739834280643528361334251926593124,20,axial,dwi
1.2.840.113619.2.5.1825232322415971985221597198522868000,1.2.840.113619.6.388.76770229986043515521108759902258084570,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.2288.1599179094485,1.2.840.113619.6.410.182092837279231215753665729542209422074,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.6154.1586746737414,1.2.840.113619.6.410.332119419096343645712949244546116853199,25,axial,other
1.2.840.113619.2.410.15512023.5814788.22492.15790574810994,1.2.840.113619.6.410.111685659935205307282178263189933877201,25,axial,t2
1.2.840.113619.2.5.1823172318815926137531592613753890000,1.2.840.113619.6.388.182525899980377453968771846341972063381,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.27399.15994545160453,1.2.840.113619.6.410.115691705718311235874936165638478465723,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.26929.15994543170831,1.2.840.113619.6.410.115691705718311235874936165638478465723,25,axial,other
1.2.840.113619.2.410.15512023.5814788.29906.15994406560232,1.2.840.113619.6.410.228740670531169773299671777809937974762,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.29559.15804552730374,1.2.840.113619.6.410.129535188818490734954528572423006842250,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.11819.15807180550084,1.2.840.113619.6.410.134326008530526694910986598523934182418,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.11539.15807179700370,1.2.840.113619.6.410.134326008530526694910986598523934182418,25,axial,other
1.2.840.113619.2.5.1917231621716014361691601436169222000,1.2.840.113619.6.388.295594453288640871910941788426249909005,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.30741.15948832100289,1.2.840.113619.6.410.137898055049934871985620822007479701607,25,axial,other
1.2.840.113619.2.5.1825181723715959024331595902433482000,1.2.840.113619.6.388.170870321186233564337520718387667756998,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.21480.15934021360121,1.2.840.113619.6.410.247974811334191840181087968172054686796,25,axial,other
1.2.840.113619.2.410.15512023.5814788.20818.16003883200073,1.2.840.113619.6.410.72018269195702828501937209391299217744,25,axial,other
1.2.840.113619.2.5.1916232119615996453441599645344687000,1.2.840.113619.6.388.204112447996558544077057957260308130167,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.4609.1581392144341,1.2.840.113619.6.410.213925565523759567732468613113106897503,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.468.15966000940929,1.2.840.113619.6.410.67189537291259173420834055643483688197,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.26558.16034356340735,1.2.840.113619.6.410.174072765080161491362771485327290535775,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.19796.15991199150592,1.2.840.113619.6.410.14448318743452333960338346097065890202,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.10376.15790511360413,1.2.840.113619.6.410.155223390873941876127890484007219336581,25,axial,other
1.2.840.113619.2.5.1916182120715985770291598577029498000,1.2.840.113619.6.388.140770304931314606121314475477782544494,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.10874.16032398060634,1.2.840.113619.6.410.283423224305112722086381747904404575437,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.16350.15936635170978,1.2.840.113619.6.410.325252479896783011599946586280965820839,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.25306.15940180740232,1.2.840.113619.6.410.101100861104762822098783993417376401921,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.15819.15936632900560,1.2.840.113619.6.410.325252479896783011599946586280965820839,25,axial,other
1.2.840.113619.2.5.1825201623615961773591596177359303000,1.2.840.113619.6.388.339607819546363819845392174936725442761,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.12272.15804405410888,1.2.840.113619.6.410.294840114589361917339754723274158169223,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.27147.15994543940521,1.2.840.113619.6.410.115691705718311235874936165638478465723,25,axial,t2
1.2.840.113619.2.5.1825241625415973025341597302534164000,1.2.840.113619.6.388.64929441023313671649857008166169394308,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.3574.1600654519218,1.2.840.113619.6.410.66407727539833811361538031334665148945,25,axial,t2
1.2.840.113619.2.410.15512023.5814788.13099.15958382030282,1.2.840.113619.6.410.37036263072944493744077818572951532217,18,axial,dwi
1.2.840.113619.2.410.15512023.5814788.22177.15948906860715,1.2.840.113619.6.410.141640540339052530491289890774412858368,25,axial,t2
1.2.840.113619.2.5.1918192321816026473721602647372077000,1.2.840.113619.6.388.312134215383587103953960642794293542593,20,axial,dwi
1.2.840.113619.2.410.15512023.5814788.31201.15948833790473,1.2.840.113619.6.410.137898055049934871985620822007479701607,18,axial,dwi
1.2.840.113619.2.388.57473.14165493.12727.1599651186.50,1.2.840.113619.6.388.307008614573489317856088494638419443875,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12727.1599651186.52,1.2.840.113619.6.388.307008614573489317856088494638419443875,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12727.1599651186.53,1.2.840.113619.6.388.307008614573489317856088494638419443875,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12727.1599651186.54,1.2.840.113619.6.388.307008614573489317856088494638419443875,224,axial,t1
1.2.840.113619.2.388.57473.14165493.12801.1579044529.311,1.2.840.113619.6.388.207657736653209683860670762649453396050,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12801.1579044529.313,1.2.840.113619.6.388.207657736653209683860670762649453396050,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12801.1579044529.314,1.2.840.113619.6.388.207657736653209683860670762649453396050,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12600.1595978241.83,1.2.840.113619.6.388.185848116967023539198258830380339878916,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12600.1595978241.85,1.2.840.113619.6.388.185848116967023539198258830380339878916,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12600.1595978241.86,1.2.840.113619.6.388.185848116967023539198258830380339878916,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12600.1595978241.200,1.2.840.113619.6.388.303688102919754287774975065207891548667,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12600.1595978241.202,1.2.840.113619.6.388.303688102919754287774975065207891548667,20,axial,other
1.2.840.113619.2.388.57473.14165493.12600.1595978241.203,1.2.840.113619.6.388.303688102919754287774975065207891548667,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12600.1595978241.204,1.2.840.113619.6.388.303688102919754287774975065207891548667,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12600.1595978241.209,1.2.840.113619.6.388.303688102919754287774975065207891548667,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12431.1595632873.129,1.2.840.113619.6.388.73906896814239789518966136881253359664,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12431.1595632873.131,1.2.840.113619.6.388.73906896814239789518966136881253359664,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12431.1595632873.132,1.2.840.113619.6.388.73906896814239789518966136881253359664,116,axial,other
1.2.840.113619.2.388.57473.14165493.12431.1595632873.133,1.2.840.113619.6.388.73906896814239789518966136881253359664,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12431.1595632873.134,1.2.840.113619.6.388.73906896814239789518966136881253359664,16,axial,t2
1.2.840.113619.2.388.57473.14165493.11769.1595632943.927,1.2.840.113619.6.388.73906896814239789518966136881253359664,1,axial,other
1.2.840.113619.2.388.57473.14165493.12431.1595632873.139,1.2.840.113619.6.388.73906896814239789518966136881253359664,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12431.1595632874.19,1.2.840.113619.6.388.241598939277384086076261576433400480797,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12431.1595632874.22,1.2.840.113619.6.388.241598939277384086076261576433400480797,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12431.1595632874.27,1.2.840.113619.6.388.241598939277384086076261576433400480797,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12431.1595632874.21,1.2.840.113619.6.388.241598939277384086076261576433400480797,25,axial,flair
1.2.840.113619.2.388.57473.14165493.12639.1596150914.293,1.2.840.113619.6.388.314405020800736104355735550758940327499,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12639.1596150914.295,1.2.840.113619.6.388.314405020800736104355735550758940327499,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12639.1596150914.296,1.2.840.113619.6.388.314405020800736104355735550758940327499,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12639.1596150914.297,1.2.840.113619.6.388.314405020800736104355735550758940327499,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12639.1596150914.568,1.2.840.113619.6.388.339607819546363819845392174936725442761,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12639.1596150914.571,1.2.840.113619.6.388.339607819546363819845392174936725442761,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12639.1596150914.572,1.2.840.113619.6.388.339607819546363819845392174936725442761,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12639.1596150914.570,1.2.840.113619.6.388.339607819546363819845392174936725442761,20,axial,other
1.2.840.113619.2.388.57473.14165493.12824.1600821351.581,1.2.840.113619.6.388.149115943014400619738246772455111288362,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12824.1600821351.583,1.2.840.113619.6.388.149115943014400619738246772455111288362,25,axial,flair
1.2.840.113619.2.388.57473.14165493.12824.1600821351.584,1.2.840.113619.6.388.149115943014400619738246772455111288362,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12824.1600821351.586,1.2.840.113619.6.388.149115943014400619738246772455111288362,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12404.1597274161.335,1.2.840.113619.6.388.10811204088024990591589460410450038986,120,axial,other
1.2.840.113619.2.388.57473.14165493.12404.1597274161.340,1.2.840.113619.6.388.10811204088024990591589460410450038986,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12404.1597274161.342,1.2.840.113619.6.388.10811204088024990591589460410450038986,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12404.1597274161.343,1.2.840.113619.6.388.10811204088024990591589460410450038986,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12404.1597274161.344,1.2.840.113619.6.388.10811204088024990591589460410450038986,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12404.1597274161.349,1.2.840.113619.6.388.10811204088024990591589460410450038986,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12404.1597274161.454,1.2.840.113619.6.388.64929441023313671649857008166169394308,120,axial,other
